Ligand	SFC	SFC_Path_Independent_Error	SFC_Path_Dependent_Error
1	0.0000	0.5846	0.5846
10	2.6047	0.0916	0.0582
11	-2.7482	0.3455	0.2532
12	4.6165	0.3455	0.2663
13	3.7475	0.7996	0.4900
14	-0.7140	0.7996	0.5112
15	-1.1353	0.0379	0.0264
16	-1.4614	0.4869	0.3831
17	-0.0555	0.5690	0.4350
18	1.7839	0.0821	0.0821
19	0.5946	0.2539	0.1567
2	4.6876	0.5846	0.4686
20	-0.2841	0.1643	0.1643
3	3.1171	0.8276	0.5238
4	1.8615	0.2651	0.1681
5	-2.2622	0.8276	0.4663
6	-1.7181	0.5625	0.4049
7	-2.2402	0.3740	0.2841
8	4.3181	0.5690	0.3904
9	1.9700	0.7478	0.4732
