Pair	Original	SFC	SFC_Error
1-2	4.1030	4.6876	0.5846
2-3	-1.5926	-1.5705	0.0222
3-4	-1.5207	-1.2556	0.2651
4-5	-4.2473	-4.1237	0.1236
5-6	0.7326	0.5442	0.1885
6-7	-0.8962	-0.5222	0.3740
7-8	6.4985	6.5583	0.0598
8-9	-2.8329	-2.3481	0.4848
9-10	0.5835	0.6347	0.0512
10-11	-5.4444	-5.3529	0.0916
11-12	7.0191	7.3647	0.3455
12-13	-0.9119	-0.8689	0.0429
13-14	-5.2611	-4.4616	0.7996
14-15	-0.3900	-0.4213	0.0313
15-16	-0.2882	-0.3261	0.0379
16-17	1.8928	1.4059	0.4869
17-18	1.7574	1.8394	0.0821
18-19	-1.2713	-1.1893	0.0821
19-20	-0.7145	-0.8788	0.1643
2-6	-6.9682	-6.4057	0.5625
10-4	-0.7660	-0.7432	0.0228
8-14	-4.7898	-5.0321	0.2423
8-16	-5.3304	-5.7795	0.4491
13-9	-1.0297	-1.7775	0.7478
15-13	4.8665	4.8828	0.0164
11-19	3.5967	3.3428	0.2539
17-8	4.9426	4.3736	0.5690
5-10	4.7939	4.8669	0.0730
7-9	3.8961	4.2103	0.3142
5-3	4.5518	5.3794	0.8276
12-8	-0.6009	-0.2984	0.3025
3-1	-3.7018	-3.1171	0.5846
5-14	2.1367	1.5482	0.5885
15-10	3.7498	3.7400	0.0098
13-19	-3.1605	-3.1529	0.0076
20-4	2.3099	2.1456	0.1643
